"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 13 17:42:32 GMT 2023","Wed Sep 13 17:42:44 GMT 2023","11739","","Login","","Validar o login na aplicação","","Validar o login na aplicação","  Com essa funcionalidade iremos realizar o login de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso inserir dados cadastrais
  Para o login ser efetuado com sucesso"
"passed","Wed Sep 13 17:42:44 GMT 2023","Wed Sep 13 17:42:47 GMT 2023","3259","","Logout","","Validar o logout na aplicação","","Validar o logout na aplicação","  Com essa funcionalidade iremos realizar o logout de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso clicar no campo ""Sair""
  Para o logout ser efetuado com sucesso"
